seed,dimension,count,query_index,query_w2,allowed_query_radius,log_error_upper,log_theorem_bound,bound_passed
20260730,220,1825,1,0.012163272811190748,0.01351474756798972,-1083.229398244498,-3.205361488674241,True
20260730,220,1825,2,0.012163272811190748,0.01351474756798972,-1057.98424199325,-3.205361488674241,True
20260730,220,1825,3,0.012163272811190748,0.01351474756798972,-1054.9323083359634,-3.205361488674241,True
20260730,220,1825,4,0.012163272811190748,0.01351474756798972,-1053.2657521515423,-3.205361488674241,True
20260730,220,1825,5,0.012163272811190748,0.01351474756798972,-1106.6694162457088,-3.205361488674241,True
20260730,220,1825,6,0.012163272811190748,0.01351474756798972,-1078.6228113750942,-3.205361488674241,True
20260730,220,1825,7,0.012163272811190748,0.01351474756798972,-1052.0380190559006,-3.205361488674241,True
20260730,220,1825,8,0.012163272811190748,0.01351474756798972,-1015.4923117579176,-3.205361488674241,True
20260730,220,1825,9,0.012163272811190748,0.01351474756798972,-1030.241632542578,-3.205361488674241,True
20260730,220,1825,10,0.012163272811190748,0.01351474756798972,-1090.2938577938914,-3.205361488674241,True
20260730,220,1825,11,0.012163272811190748,0.01351474756798972,-1041.2676911392314,-3.205361488674241,True
20260730,220,1825,12,0.012163272811190748,0.01351474756798972,-1075.7056121824426,-3.205361488674241,True
20260730,220,1825,13,0.012163272811190748,0.01351474756798972,-1041.6541563384735,-3.205361488674241,True
20260730,220,1825,14,0.012163272811190748,0.01351474756798972,-1070.3345719422264,-3.205361488674241,True
20260730,220,1825,15,0.012163272811190748,0.01351474756798972,-1104.104179317335,-3.205361488674241,True
20260730,220,1825,16,0.012163272811190748,0.01351474756798972,-1059.4668797599843,-3.205361488674241,True
20260730,220,1825,17,0.012163272811190748,0.01351474756798972,-1085.0943164390806,-3.205361488674241,True
20260730,220,1825,18,0.012163272811190748,0.01351474756798972,-1060.5186931352523,-3.205361488674241,True
20260730,220,1825,19,0.012163272811190748,0.01351474756798972,-1087.13327688232,-3.205361488674241,True
20260730,220,1825,20,0.012163272811190748,0.01351474756798972,-1093.2596115438912,-3.205361488674241,True
20260730,220,1825,21,0.012163272811190748,0.01351474756798972,-1037.5832364342718,-3.205361488674241,True
20260730,220,1825,22,0.012163272811190748,0.01351474756798972,-1081.8357486785617,-3.205361488674241,True
20260730,220,1825,23,0.012163272811190748,0.01351474756798972,-1059.929309250077,-3.205361488674241,True
20260730,220,1825,24,0.012163272811190748,0.01351474756798972,-1045.9502514309506,-3.205361488674241,True
20260730,220,1825,25,0.012163272811190748,0.01351474756798972,-1077.6783865428488,-3.205361488674241,True
20260730,220,1825,26,0.012163272811190748,0.01351474756798972,-1060.3753318033273,-3.205361488674241,True
20260730,220,1825,27,0.012163272811190748,0.01351474756798972,-1063.1690412068485,-3.205361488674241,True
20260730,220,1825,28,0.012163272811190748,0.01351474756798972,-1014.9472722922026,-3.205361488674241,True
20260730,220,1825,29,0.012163272811190748,0.01351474756798972,-1079.1656350369642,-3.205361488674241,True
20260730,220,1825,30,0.012163272811190748,0.01351474756798972,-1020.8324941884433,-3.205361488674241,True
20260730,220,1825,31,0.012163272811190748,0.01351474756798972,-1075.5420011528654,-3.205361488674241,True
20260730,220,1825,32,0.012163272811190748,0.01351474756798972,-996.8940049333456,-3.205361488674241,True
20260730,220,1825,33,0.012163272811190748,0.01351474756798972,-1084.4049334930924,-3.205361488674241,True
20260730,220,1825,34,0.012163272811190748,0.01351474756798972,-1103.8872625289457,-3.205361488674241,True
20260730,220,1825,35,0.012163272811190748,0.01351474756798972,-1088.3838829199299,-3.205361488674241,True
20260730,220,1825,36,0.012163272811190748,0.01351474756798972,-1046.3614145425927,-3.205361488674241,True
20260730,220,1825,37,0.012163272811190748,0.01351474756798972,-1090.2043742232365,-3.205361488674241,True
20260730,220,1825,38,0.012163272811190748,0.01351474756798972,-1101.3285213728336,-3.205361488674241,True
20260730,220,1825,39,0.012163272811190748,0.01351474756798972,-1018.9258728781101,-3.205361488674241,True
20260730,220,1825,40,0.012163272811190748,0.01351474756798972,-1056.735524650662,-3.205361488674241,True
20260730,220,1825,41,0.012163272811190748,0.01351474756798972,-1057.2283758467588,-3.205361488674241,True
20260730,220,1825,42,0.012163272811190748,0.01351474756798972,-934.5582528699225,-3.205361488674241,True
20260730,220,1825,43,0.012163272811190748,0.01351474756798972,-1110.877935031719,-3.205361488674241,True
20260730,220,1825,44,0.012163272811190748,0.01351474756798972,-1070.1235105320054,-3.205361488674241,True
20260730,220,1825,45,0.012163272811190748,0.01351474756798972,-1029.1837133998815,-3.205361488674241,True
